centroid_x,centroid_y,img_lb
501.0,706.0,0.0
103.0,660.0,0.0
11.0,644.0,0.0
59.0,635.0,0.0
345.0,610.0,0.0
28.0,538.0,0.0
361.0,516.0,0.0
197.0,471.0,0.0
694.0,365.0,0.0
390.0,354.0,0.0
220.0,267.0,0.0
546.0,263.0,0.0
415.0,240.0,0.0
344.0,53.0,0.0
726.0,42.0,0.0
758.0,8.0,0.0
762.0,443.0,0.0
334.0,236.0,0.0
323.0,227.0,0.0
799.0,422.0,0.0
810.0,423.0,0.0
489.0,164.0,0.0
486.0,84.0,0.0
681.0,663.0,1.0
697.0,643.0,1.0
544.0,625.0,1.0
52.0,612.0,1.0
169.0,549.0,1.0
397.0,529.0,1.0
701.0,470.0,1.0
143.0,461.0,1.0
435.0,403.0,1.0
592.0,378.0,1.0
804.0,345.0,1.0
879.0,312.0,1.0
131.0,269.0,1.0
820.0,258.0,1.0
326.0,217.0,1.0
289.0,189.0,1.0
344.0,148.0,1.0
104.0,63.0,1.0
27.0,450.0,1.0
344.0,164.0,1.0
344.0,147.0,1.0
675.0,541.0,1.0
264.0,508.0,1.0
483.0,258.0,1.0
869.0,249.0,1.0
205.0,52.0,1.0
693.0,617.0,1.0
676.0,608.0,1.0
517.0,116.0,1.0
628.0,698.0,2.0
140.0,665.0,2.0
658.0,655.0,2.0
377.0,652.0,2.0
146.0,631.0,2.0
131.0,613.0,2.0
199.0,568.0,2.0
282.0,551.0,2.0
495.0,515.0,2.0
55.0,479.0,2.0
932.0,424.0,2.0
770.0,375.0,2.0
248.0,377.0,2.0
228.0,367.0,2.0
404.0,361.0,2.0
226.0,343.0,2.0
319.0,307.0,2.0
366.0,162.0,2.0
870.0,160.0,2.0
11.0,25.0,2.0
253.0,606.0,2.0
851.0,301.0,2.0
60.0,580.0,2.0
49.0,578.0,2.0
537.0,676.0,2.0
778.0,651.0,2.0
918.0,646.0,2.0
444.0,157.0,2.0
885.0,697.0,3.0
172.0,633.0,3.0
143.0,629.0,3.0
435.0,596.0,3.0
321.0,535.0,3.0
