centroid_x,centroid_y,img_lb
865.0,711.0,0.0
503.0,623.0,0.0
221.0,412.0,0.0
164.0,366.0,0.0
591.0,328.0,0.0
492.0,268.0,0.0
441.0,247.0,0.0
319.0,196.0,0.0
844.0,62.0,0.0
820.0,594.0,0.0
946.0,494.0,0.0
393.0,424.0,0.0
656.0,365.0,0.0
334.0,255.0,0.0
794.0,175.0,0.0
271.0,318.0,0.0
278.0,303.0,0.0
833.0,101.0,0.0
262.0,646.0,1.0
485.0,645.0,1.0
641.0,585.0,1.0
587.0,562.0,1.0
184.0,561.0,1.0
410.0,443.0,1.0
449.0,430.0,1.0
181.0,353.0,1.0
12.0,199.0,1.0
508.0,103.0,1.0
700.0,38.0,1.0
208.0,674.0,1.0
235.0,385.0,1.0
366.0,262.0,1.0
757.0,260.0,1.0
57.0,82.0,1.0
542.0,662.0,2.0
253.0,562.0,2.0
747.0,492.0,2.0
165.0,434.0,2.0
767.0,428.0,2.0
80.0,266.0,2.0
387.0,160.0,2.0
488.0,153.0,2.0
925.0,710.0,2.0
900.0,43.0,2.0
294.0,482.0,2.0
850.0,206.0,2.0
320.0,173.0,2.0
311.0,623.0,3.0
647.0,454.0,3.0
857.0,410.0,3.0
373.0,416.0,3.0
290.0,416.0,3.0
576.0,332.0,3.0
635.0,120.0,3.0
123.0,535.0,3.0
945.0,491.0,3.0
835.0,380.0,3.0
552.0,117.0,3.0
242.0,166.0,3.0
227.0,163.0,3.0
477.0,661.0,4.0
849.0,573.0,4.0
648.0,477.0,4.0
90.0,417.0,4.0
717.0,308.0,4.0
452.0,243.0,4.0
783.0,216.0,4.0
798.0,111.0,4.0
543.0,16.0,4.0
274.0,499.0,4.0
468.0,380.0,4.0
795.0,366.0,4.0
761.0,359.0,4.0
38.0,323.0,4.0
611.0,232.0,4.0
598.0,222.0,4.0
717.0,426.0,4.0
821.0,267.0,4.0
861.0,682.0,5.0
370.0,671.0,5.0
115.0,659.0,5.0
648.0,659.0,5.0
435.0,645.0,5.0
476.0,549.0,5.0
545.0,519.0,5.0
341.0,513.0,5.0
437.0,415.0,5.0
537.0,408.0,5.0
110.0,384.0,5.0
685.0,345.0,5.0
123.0,327.0,5.0
900.0,307.0,5.0
241.0,246.0,5.0
810.0,137.0,5.0
816.0,117.0,5.0
745.0,89.0,5.0
863.0,72.0,5.0
371.0,34.0,5.0
809.0,634.0,5.0
556.0,547.0,5.0
181.0,453.0,5.0
944.0,383.0,5.0
103.0,321.0,5.0
897.0,173.0,5.0
731.0,162.0,5.0
702.0,157.0,5.0
17.0,470.0,5.0
237.0,701.0,6.0
256.0,659.0,6.0
290.0,505.0,6.0
344.0,487.0,6.0
278.0,380.0,6.0
824.0,245.0,6.0
200.0,244.0,6.0
24.0,221.0,6.0
605.0,98.0,6.0
221.0,30.0,6.0
287.0,651.0,6.0
670.0,416.0,6.0
657.0,318.0,6.0
509.0,86.0,6.0
39.0,32.0,6.0
612.0,217.0,6.0
553.0,59.0,6.0
674.0,654.0,7.0
770.0,633.0,7.0
546.0,603.0,7.0
33.0,602.0,7.0
526.0,435.0,7.0
815.0,332.0,7.0
538.0,176.0,7.0
202.0,79.0,7.0
822.0,581.0,7.0
831.0,483.0,7.0
514.0,298.0,7.0
385.0,153.0,7.0
551.0,328.0,7.0
558.0,318.0,7.0
66.0,274.0,7.0
70.0,263.0,7.0
101.0,619.0,7.0
526.0,477.0,7.0
36.0,638.0,8.0
453.0,585.0,8.0
945.0,568.0,8.0
552.0,519.0,8.0
739.0,504.0,8.0
846.0,369.0,8.0
828.0,318.0,8.0
202.0,285.0,8.0
748.0,214.0,8.0
365.0,201.0,8.0
212.0,109.0,8.0
375.0,12.0,8.0
403.0,587.0,8.0
866.0,582.0,8.0
713.0,543.0,8.0
67.0,466.0,8.0
814.0,214.0,8.0
164.0,24.0,8.0
131.0,647.0,8.0
126.0,640.0,8.0
219.0,366.0,8.0
216.0,356.0,8.0
515.0,133.0,8.0
525.0,118.0,8.0
705.0,484.0,8.0
528.0,706.0,9.0
870.0,676.0,9.0
471.0,393.0,9.0
759.0,359.0,9.0
181.0,285.0,9.0
731.0,268.0,9.0
767.0,219.0,9.0
182.0,208.0,9.0
166.0,191.0,9.0
379.0,164.0,9.0
637.0,71.0,9.0
670.0,552.0,9.0
884.0,343.0,9.0
791.0,16.0,9.0
82.0,625.0,9.0
89.0,610.0,9.0
618.0,361.0,9.0
345.0,137.0,9.0
